[2025-05-03 14:47:16,914] INFO - 🚀 Starting preprocessing...
[2025-05-03 14:47:17,765] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-05-03 14:47:17,812] INFO - 🧹 Cleaning text...
[2025-05-03 14:47:19,747] INFO - ✅ Text cleaned.
[2025-05-03 14:47:19,748] INFO - 🔠 Vectorizing using TF-IDF...
[2025-05-03 14:47:20,359] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-05-03 14:47:20,360] INFO - 📐 Calculating cosine similarity...
[2025-05-03 14:47:20,814] INFO - ✅ Cosine similarity matrix generated.
[2025-05-03 14:47:21,018] INFO - 💾 Data saved to disk.
[2025-05-03 14:47:21,022] INFO - ✅ Preprocessing complete.
[2025-06-24 11:33:31,942] INFO - 🚀 Starting preprocessing...
[2025-06-24 11:33:33,276] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-06-24 11:33:33,295] INFO - 🧹 Cleaning text...
[2025-06-24 11:33:34,622] INFO - ✅ Text cleaned.
[2025-06-24 11:33:34,622] INFO - 🔠 Vectorizing using TF-IDF...
[2025-06-24 11:33:34,905] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-06-24 11:33:34,906] INFO - 📐 Calculating cosine similarity...
[2025-06-24 11:33:35,338] INFO - ✅ Cosine similarity matrix generated.
[2025-06-24 11:33:35,527] INFO - 💾 Data saved to disk.
[2025-06-24 11:33:35,528] INFO - ✅ Preprocessing complete.
[2025-07-07 20:58:04,105] INFO - 🚀 Starting preprocessing...
[2025-07-07 20:58:05,030] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-07-07 20:58:05,048] INFO - 🧹 Cleaning text...
[2025-07-07 20:58:06,316] INFO - ✅ Text cleaned.
[2025-07-07 20:58:06,316] INFO - 🔠 Vectorizing using TF-IDF...
[2025-07-07 20:58:06,587] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-07-07 20:58:06,588] INFO - 📐 Calculating cosine similarity...
[2025-07-07 20:58:07,036] INFO - ✅ Cosine similarity matrix generated.
[2025-07-07 20:58:07,231] INFO - 💾 Data saved to disk.
[2025-07-07 20:58:07,232] INFO - ✅ Preprocessing complete.
[2025-07-07 20:59:36,837] INFO - 🚀 Starting preprocessing...
[2025-07-07 20:59:37,585] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-07-07 20:59:37,602] INFO - 🧹 Cleaning text...
[2025-07-07 20:59:38,907] INFO - ✅ Text cleaned.
[2025-07-07 20:59:38,908] INFO - 🔠 Vectorizing using TF-IDF...
[2025-07-07 20:59:39,171] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-07-07 20:59:39,172] INFO - 📐 Calculating cosine similarity...
[2025-07-07 20:59:39,644] INFO - ✅ Cosine similarity matrix generated.
[2025-07-07 20:59:39,876] INFO - 💾 Data saved to disk.
[2025-07-07 20:59:39,876] INFO - ✅ Preprocessing complete.
